experiment,arm,payload_regime,payload_bytes,envelope_bytes,channel_family,condition,repetition,seed,capacity_ok,geometry_ok,build_error,native_ecc,protected_redundancy_ratio,logical_width_modules,logical_height_modules,module_px,min_module_mm,allocated_area_mm2,symbol_area_mm2,effective_capacity_bytes_per_mm2,capture_width_px,capture_height_px,decode_budget_ms,structure_data_independent,exact_recover,robust_recover,decoder_wrong_output,authenticated_false_acceptance,substitution_replay,structure_recovered,data_recovered,diagnostic_accuracy,localization_ms,symbol_decode_ms,ecc_ms,authentication_ms,total_decode_ms,decode_within_budget,output_bytes,notes
equal_area,qr_L,small,512,584,identity,identity,0,6943228717871634668,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,7.364299992332235,1.3178999943193048,0.0,0.15029998030513525,9.603099984815344,1,584,
equal_area,qr_L,small,512,584,identity,identity,1,8149056323776737038,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,7.36509999842383,1.5329000016208738,0.0,0.2264999784529209,9.883399994578212,1,584,
equal_area,qr_L,small,512,584,identity,identity,2,8361998630944081138,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,7.8655999968759716,1.6141000087372959,0.0,0.22039999021217227,10.399599996162578,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q95,0,1006670243606478514,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.07599999057129,1.1369000130798668,0.0,0.142400007462129,8.010099991224706,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q95,1,17985796189200843069,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.402499992167577,1.4497999800369143,0.0,0.22709998302161694,9.820199979003519,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q95,2,15146317917999433654,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.959400012623519,1.6685000155121088,0.0,0.21970001398585737,10.521999996853992,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q80,0,4483651958678720215,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.0865000016056,1.5001999854575843,0.0,0.14039999223314226,9.433100000023842,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q80,1,5613066861669536433,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.903999998234212,1.6906000091694295,0.0,0.21550001110881567,10.719700017943978,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q80,2,3926959811252031857,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.241099985549226,1.6590000013820827,0.0,0.23439998039975762,10.019899986218661,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q65,0,3278178503867364818,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.100399991031736,1.735099998768419,0.0,0.20920002134516835,9.833599993726239,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q65,1,6152051887559045224,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.391399994958192,1.194899989059195,0.0,0.14069999451749027,9.513800003333017,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q65,2,16931973583539739963,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.384500000625849,1.2769000022672117,0.0,0.14799999189563096,9.555899974657223,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q50,0,15621098035720357780,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.507599988253787,1.091400015866384,0.0,0.13569998554885387,8.475099981296808,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q50,1,1135913474219716888,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.566199997905642,1.1378000199329108,0.0,0.13780000153928995,8.540499984519556,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q50,2,4643214603235496679,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.4734000188764185,1.3411999971140176,0.0,0.1362999901175499,8.69409998995252,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q30,0,15978065750524997415,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.488600018201396,1.8634000152815133,0.0,1.1420999944675714,10.20829999470152,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q30,1,17002364996907080019,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.814100022893399,1.6766000189818442,0.0,0.22009998792782426,9.473699989030138,1,584,
equal_area,qr_L,small,512,584,jpeg,jpeg_q30,2,7043731038988016317,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.115199998021126,1.2430000060703605,0.0,0.1516000193078071,8.163999998942018,1,584,
equal_area,qr_L,small,512,584,scale,scale_100,0,10938828115921936520,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,7.642699987627566,1.60749998758547,0.0,0.20470001618377864,10.21259999834001,1,584,
equal_area,qr_L,small,512,584,scale,scale_100,1,15917937615165431220,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,6.250100006582215,1.676699990639463,0.0,0.13830000534653664,8.751599991228431,1,584,
equal_area,qr_L,small,512,584,scale,scale_100,2,10310005310159424551,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,6.457499985117465,1.1070000182371587,0.0,0.1362999901175499,8.438099990598857,1,584,
equal_area,qr_L,small,512,584,scale,scale_75,0,18057618817366789017,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.512000021757558,1.6534000169485807,0.0,0.22149999858811498,9.104299999307841,1,584,
equal_area,qr_L,small,512,584,scale,scale_75,1,16155258394123211071,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.780899992212653,1.6388000221922994,0.0,0.2190999803133309,10.449099994730204,1,584,
